id,season,war
1009179,1972,8.7
1009179,1973,9.5
1009179,1974,8.6
1009179,1975,11.0
1009179,1976,9.5
1009179,1977,5.8
1009179,1978,1.5
1009179,1979,2.6
1009179,1980,4.0
1009179,1981,2.3
1009179,1982,5.2
1009179,1983,3.5
1009179,1984,1.3
1006776,1891,-0.1
1006776,1892,0.1
1006776,1893,3.5
1006776,1894,7.1
1006776,1895,6.5
1006776,1896,7.8
1006776,1897,5.3
1006776,1898,4.0
1006776,1899,4.8
1006776,1900,3.8
1006776,1901,3.1
1006776,1902,2.7
1006776,1903,2.6
1006776,1904,2.7
1006776,1905,0.4
1006776,1906,-0.1
1006776,1908,0.6
1010909,1879,2.5
1010909,1880,1.0
1010909,1881,2.5
1010909,1882,2.2
1010909,1883,4.1
1010909,1884,3.5
1010909,1885,3.0
1010909,1886,7.3
1010909,1887,4.4
1010909,1888,2.2
1010909,1889,4.1
1010909,1890,4.6
1010909,1891,1.6
1010909,1892,0.5
971,2000,-0.1
971,2001,2.1
971,2002,1.5
971,2003,2.3
971,2004,5.0
971,2005,3.9
971,2006,4.3
971,2007,6.5
971,2008,5.0
971,2009,2.5
971,2010,2.3
971,2011,3.6
971,2012,4.6
971,2013,1.7
971,2014,3.8
971,2015,0.4
971,2016,0.0
1012060,1938,1.0
1012060,1939,4.2
1012060,1940,3.7
1012060,1941,3.3
1012060,1942,6.8
1012060,1946,4.4
1012060,1947,3.2
1012060,1948,4.7
1012060,1949,5.7
1012060,1950,1.7
1012060,1951,2.2
1012060,1952,4.0
1012060,1953,2.0
1012060,1954,0.0
1012060,1955,1.8
1012060,1956,0.7
1012060,1957,1.3
1012060,1958,1.0
1012060,1959,-0.4
1005033,1970,0.3
1005033,1971,0.6
1005033,1972,5.4
1005033,1973,7.8
1005033,1974,6.8
1005033,1975,6.8
1005033,1976,5.7
1005033,1977,1.4
1005033,1978,3.0
1005033,1979,5.6
1005033,1980,4.4
1005033,1981,5.3
1005033,1982,4.3
1005033,1983,4.2
1005033,1984,1.9
1005033,1985,3.4
1005033,1986,2.1
